County,Population,Area (Square Mile),Density (Population Per Sq Mi),Classification
Alamance,184114,423.5,434.7,Suburban
Alexander,36464,260,140.2,Rural
Alleghany,11464,234.8,48.8,Rural
Anson,22059,531.5,41.5,Rural
Ashe,27196,426.3,63.8,Rural
Avery,17395,247.3,70.3,Rural
Beaufort,43593,832.7,52.4,Rural
Bertie,16739,699.2,23.9,Rural
Bladen,28850,875,33,Rural
Brunswick,166886,850.1,196.3,Rural
Buncombe,279331,656.5,425.5,Suburban
Burke,89581,506.2,177,Rural
Cabarrus,248866,361.2,689,Suburban
Caldwell,81884,471.9,173.5,Rural
Camden,11291,240.3,47,Rural
Carteret,70822,507.6,139.5,Rural
Caswell,21960,425.4,51.6,Rural
Catawba,168239,401.4,419.1,Suburban
Chatham,82500,681.7,121,Rural
Cherokee,29361,455.5,64.5,Rural
Chowan,13896,172.7,80.5,Rural
Clay,11924,215,55.5,Rural
Cleveland,101172,464.2,217.9,Rural
Columbus,49935,938.1,53.2,Rural
Craven,105175,706.6,148.8,Rural
Cumberland,343636,652.6,526.6,Suburban
Currituck,33670,261.9,128.6,Rural
Dare,37786,383.2,98.6,Rural
Davidson,178071,553.2,321.9,Suburban
Davie,44800,263.7,169.9,Rural
Duplin,49683,814.7,61,Rural
Durham,340727,286.5,1189.3,Urban
Edgecombe,47637,505.4,94.3,Rural
Forsyth,396317,407.9,971.6,Urban
Franklin,80236,491.8,163.1,Rural
Gaston,243242,355.8,683.6,Suburban
Gates,10534,340.6,30.9,Rural
Graham,7718,292,26.4,Rural
Granville,62881,532,118.2,Rural
Greene,19939,266.7,74.8,Rural
Guilford,553023,645.9,856.2,Urban
Halifax,46342,723.7,64,Rural
Harnett,145438,594.9,244.5,Rural
Haywood,64109,553.6,115.8,Rural
Henderson,121587,372.9,326.1,Suburban
Hertford,19564,353.2,55.4,Rural
Hoke,56269,390.2,144.2,Rural
Hyde,4490,612.3,7.3,Rural
Iredell,207682,574.4,361.6,Suburban
Jackson,43308,491.1,88.2,Rural
Johnston,249714,792,315.3,Suburban
Jones,9098,471.4,19.3,Rural
Lee,67613,255.1,265,Suburban
Lenoir,53509,399.1,134.1,Rural
Lincoln,98348,295.8,332.5,Suburban
Macon,38539,515.6,74.7,Rural
Madison,21453,449.6,47.7,Rural
Martin,20952,456.4,45.9,Rural
McDowell,44601,440,101.4,Rural
Mecklenburg,1190000,523.6,2272.7,Urban
Mitchell,14751,221.3,66.7,Rural
Montgomery,25516,491.5,51.9,Rural
Moore,111001,697.7,159.1,Rural
Nash,97793,540.4,181,Rural
New Hanover,242708,192.3,1262.1,Urban
Northampton,15867,536.7,29.6,Rural
Onslow,214782,762.1,281.8,Suburban
Orange,151635,397.6,381.4,Suburban
Pamlico,12139,336.5,36.1,Rural
Pasquotank,40933,226.9,180.4,Rural
Pender,69485,871.3,79.7,Rural
Perquimans,13209,247.2,53.4,Rural
Person,39272,392.3,100.1,Rural
Pitt,177440,652.4,272,Suburban
Polk,19660,237.7,82.7,Rural
Randolph,146358,782.3,187.1,Rural
Richmond,42299,473.7,89.3,Rural
Robeson,118737,947.3,125.3,Rural
Rockingham,91571,565.6,161.9,Rural
Rowan,153047,511.6,299.2,Suburban
Rutherford,65035,565.4,115,Rural
Sampson,59770,945.9,63.2,Rural
Scotland,33130,319.1,103.8,Rural
Stanly,64286,395.1,162.7,Rural
Stokes,46036,449.3,102.5,Rural
Surry,71249,532.6,133.8,Rural
Swain,13857,527.7,26.3,Rural
Transylvania,33230,378.4,87.8,Rural
Tyrrell,3324,390.8,8.5,Rural
Union,263285,632.7,416.1,Suburban
Vance,40712,252.4,161.3,Rural
Wake,1210000,834.6,1449.8,Urban
Warren,18803,429.4,43.8,Rural
Washington,10304,346.5,29.7,Rural
Watauga,57751,312.4,184.9,Rural
Wayne,117140,553.9,211.5,Rural
Wilkes,66315,753.7,88,Rural
Wilson,78355,367.6,213.2,Rural
Yadkin,37511,334.9,112,Rural
Yancey,18606,312.6,59.5,Rural
